City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Gornopravdinsk,RU,60.05,69.9,34.83,95,100,8.12,overcast clouds
338,Shelburne,CA,44.08,-80.2,32.0,83,100,7.29,overcast clouds
339,Vega De Alatorre,MX,20.03,-96.63,73.17,60,17,18.59,few clouds
340,Berbera,SO,10.44,45.01,83.97,73,11,12.73,few clouds
341,Hobyo,SO,5.35,48.53,82.04,73,5,11.56,light rain
342,Mitsamiouli,KM,-11.38,43.28,80.01,71,24,7.7,few clouds
343,Devonport,AU,-41.17,146.35,53.01,92,75,4.47,broken clouds
344,Sept-Iles,CA,50.2,-66.38,33.01,65,0,5.99,clear sky
345,Kloulklubed,PW,7.04,134.26,77.0,94,75,3.36,broken clouds
346,Carutapera,BR,-1.2,-46.02,88.66,54,31,12.03,scattered clouds
347,Shambu,ET,9.57,37.1,55.78,88,89,1.34,light rain
348,Filadelfia,US,39.95,-75.16,43.0,87,90,14.99,overcast clouds
349,Hella,NO,67.2,14.43,37.4,51,0,23.04,clear sky
350,Tres Arroyos,AR,-38.37,-60.28,66.38,30,19,5.06,few clouds
351,Moindou,NC,-21.69,165.68,75.2,69,0,5.82,clear sky
352,Surt,LY,31.21,16.59,73.33,59,90,12.55,overcast clouds
353,Colquechaca,BO,-18.67,-66.02,37.74,86,57,7.14,broken clouds
354,Nioro,GM,13.35,-15.75,99.03,18,86,3.67,overcast clouds
355,Jeremie,HT,18.65,-74.12,85.35,61,42,1.79,scattered clouds
356,Bereda,ES,43.27,-7.54,69.01,61,0,11.99,clear sky
357,Prainha,BR,-1.8,-53.48,95.63,43,64,6.22,broken clouds
358,Srandakan,ID,-7.94,110.25,79.84,83,100,4.18,light rain
359,Berdigestyakh,RU,62.1,126.7,-4.49,90,94,3.49,overcast clouds
360,Oktyabrskiy,RU,54.48,53.47,37.02,79,99,7.43,overcast clouds
361,Kungurtug,RU,50.6,97.52,22.98,84,100,1.83,overcast clouds
